Breast cancer invasive NOS,bilateral breast cancer,estrogen receptor-positive breast cancer,contralateral breast cancer,"stage, breast cancer",Locally advanced breast cancer,Contralateral breast cancer,estrogen receptor-negative breast cancer,HER2-negative breast cancer,Advanced breast cancer diagnosis,Invasive ductal breast cancer,"cellular diagnosis, breast cancer"
Family history of breast cancer,Alcohol consumption,Biological Markers,Prognosis good,Aromatase,Responsive Disease,Syndrome,Trans Fatty Acids,Challenge:Type:Point in time:^Patient:Nominal,"Receptors, Progesterone",RAB25,MicroRNAs
,Prolactinoma,estrogens,TP53 gene|TP53,BIRC5 gene|BIRC5,Physical function,Carrier of disorder,FGFBP1 gene|FGFBP1,Biological Markers,estrogens,Regular exercise,
,Prognostic Factor,IGFBP7|SFPQ,BRCA2 gene|BRCA2,CA-15-3 Antigen,Frailty,Encounter due to genetic counseling,Genes,Immune,,ADA,
,"Contraceptives, Oral",CXXC5 gene|CXXC5,ATM,survivin,Pathologic Response,Pharmaceutical Preparations,AGR2,interleukin-10,,Breast Diseases,
,"Muscular Dystrophy, Facioscapulohumeral",RUNX1,Single Nucleotide Polymorphism,Albumins,,Tamoxifen,cytokine,,,E-Cadherin,
,,Aromatase,Prune Belly Syndrome,Micronutrients,,Menopausal Status,TWIST1 gene|TWIST1,,,,
,,LINC00160 gene|LINC00160,Pathogenic,,,Malignant neoplasm of breast,Prognosis bad,,,,
,,Transcript,Smoking,,,BRCA1 gene|BRCA1,Syndecan-4,,,,
,,AGR2,Moderate risk,,,Pulmonary toxicity,Transferrin,,,,
,,MMP10 gene|MMP10,Physical function,,,CHEK2 gene|CHEK2,WDR43 gene|WDR43,,,,
,,Late Relapse,Mammographic Breast Density,,,Aromatase Inhibitors,PLB1 gene|PLB1,,,,
,,Tumor size,Risk Scores,,,exemestane,RAC2 gene|RAC2,,,,
,,tamoxifen,CHEK2 gene|CHEK2,,,Hormone Receptor,Estrogen receptor positive,,,,
,,"TFF1 protein, human|TFF1",PALB2 gene|PALB2,,,ATM gene|ATM,Biological Markers,,,,
,,Neoplasm Metastasis,Genes,,,Ethanol,Possible,,,,
,,"Diabetes Mellitus, Non-Insulin-Dependent",Surviving free of recurrence of neoplastic disease,,,Alcohol consumption,,,,,
,,Cerebrovascular accident,IMPACT gene,,,Cigarette Smoking,,,,,
,,Coronary Arteriosclerosis,Increased risk,,,Maternal history,,,,,
,,Parity,caveolin 1,,,Diphosphonates,,,,,
,,Triglycerides,Pathogenic Variant,,,Reproductive History,,,,,
,,CDC42,,,,4-chlorophenyl methyl sulfide,,,,,
,,MED1 gene|MED1,,,,Compete,,,,,
,,Androgen Receptor,,,,Body mass index,,,,,
,,GZMK gene|GZMK,,,,Estrogen Receptor Status,,,,,
,,Environmental Estrogen,,,,BRCA2 gene|BRCA2,,,,,
,,cholesterol,,,,Membrane Transport Proteins,,,,,
,,Procedure findings:Finding:Point in time:^Patient:Narrative,,,,Mammographic breast density,,,,,
,,Pathogenic Variant,,,,Not significant,,,,,
,,H19 gene|H19|HILS1,,,,Single Nucleotide Polymorphism,,,,,
,,Transforming Growth Factor beta Receptors,,,,desires,,,,,
,,BRCA2 gene|BRCA2,,,,Obesity,,,,,
,,USP37 gene|USP37,,,,,,,,,
,,Oral intake,,,,,,,,,
,,Metabolic marker,,,,,,,,,
,,AKTIP gene|AKTIP,,,,,,,,,
,,ROS1 wt Allele|ROS1,,,,,,,,,
,,Vigorous physical activity,,,,,,,,,
,,High Level,,,,,,,,,
,,Dietary Intake,,,,,,,,,
,,Methylnitrosourea,,,,,,,,,
,,LINC02568 gene|LINC02568,,,,,,,,,
,,SPATA13 gene|SPATA13,,,,,,,,,
,,Obesity,,,,,,,,,
,,Dried fruit intake,,,,,,,,,
,,Androgens,,,,,,,,,
,,Estrogen Receptor alpha,,,,,,,,,
,,progesterone,,,,,,,,,
,,MIR190B gene|MIR190B,,,,,,,,,
,,Alzheimer's Disease,,,,,,,,,
,,Multiple Sclerosis,,,,,,,,,
,,Increased risk,,,,,,,,,
